OTU	SA_D070	SA_D061	SA_D080	SA_D063	SA_D075	SA_D053	SA_D057	SA_D078	SA_D062	SA_D068	SA_D060	SA_D076	SA_D071	SA_D085	SA_D059	SA_D058	SA_D067	SA_D098	SA_D097	SA_D066	SA_D072	SA_D065	SA_D064	SA_D090	SA_D089	SA_D091	SA_D073	SA_D079	SA_D074	SA_D084	SA_D077	SA_D096	SA_D069	SA_D083	SA_D056	SA_D054	SA_D095	SA_D081	SA_D086	SA_D100	SA_D088	SA_D092	SA_D093	SA_D055	SA_D099	SA_D082	SA_D094	SA_D087
ASV_29	28049	41169	61703	157346	190246	57364	71585	50139	142555	31927	91545	221675	82103	48462	80131	120815	88209	12666	23277	60247	18652	47074	188507	116945	75145	113481	41550	122521	24931	95000	84220	54464	70746	141326	46485	135000	43342	18673	17312	77765	93931	64099	10498	76251	52663	16463	7443	77347
ASV_552	0	0	19028	0	0	0	0	0	0	220101	0	1839	0	0	0	3362	0	0	0	11549	8885	0	0	0	0	0	0	1389	1448	0	0	934	1765	0	25693	0	0	0	0	0	0	3233	0	0	0	1201	1264	0
ASV_76	690	72973	440	45225	41119	0	26031	0	49894	0	6495	18183	44674	17559	1719	8966	1433	5629	4906	577	7531	0	20369	252	0	0	38154	540	16808	7606	236	8407	327	8796	15446	0	5936	1551	13791	133164	99483	0	12812	11180	213468	1401	11095	81530
ASV_16	25137	64974	33546	45602	212725	64626	88397	26065	190295	77558	83195	134844	159893	99734	97454	72624	95376	137519	110749	130504	44658	126064	84934	81622	66757	58035	192921	43438	112027	104184	81465	94918	137372	85487	56065	110328	128793	32347	70643	88088	52234	42902	42735	120683	61270	27722	35601	38179
ASV_895	0	0	0	0	211628	0	0	0	0	0	0	69465	0	0	0	0	772	0	0	0	0	892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_65	13488	198433	19138	0	0	37033	0	1448	164105	12714	15154	0	24148	79015	10578	0	104528	39406	59184	52548	3648	194535	0	30656	66527	29475	14945	21140	9490	0	1889	20837	55119	0	0	70220	24863	2988	11370	0	0	16302	5621	0	0	3803	3651	0
ASV_20	0	2146	40805	137937	151868	9440	0	7331	0	20202	0	79476	2760	2107	0	0	106733	0	0	39844	530	196853	60049	6434	4136	29551	116273	48684	58144	0	11649	503	0	1285	2970	4428	560	575	440	115444	196814	20319	0	7883	42412	701	562	142982
ASV_221	26440	0	2640	0	0	0	0	30137	2735	0	2474	0	0	0	0	192542	0	0	0	0	1795	0	0	27375	1781	0	0	0	3498	0	6139	0	0	0	0	0	0	1494	0	0	1700	0	0	0	0	2152	2352	0
ASV_35	18776	105948	46304	18090	0	0	48808	23893	190792	20484	72370	3473	88140	86038	56330	74417	170574	12666	20876	59670	23241	93434	34492	6434	7124	11805	92951	53854	47529	11480	34632	30825	86177	34294	105297	8857	22623	11951	34331	18409	65378	7066	496	167122	16667	9308	843	68677
ASV_18	18546	25853	13418	39760	145289	21784	89481	10046	82550	31786	67113	100111	136780	84633	90445	57382	128124	57098	89037	58707	23594	63300	62067	66736	38377	35415	189864	28161	79536	47500	39355	21987	120896	69872	40619	76926	20607	20282	47756	158627	134495	25953	32816	137453	70426	23719	26543	98946
ASV_88	1456	1463	5279	158288	42764	0	0	0	0	0	123091	58024	72961	0	186180	0	1213	0	0	0	9179	0	75326	0	0	8835	20832	5401	6192	0	0	0	17458	0	0	0	0	0	0	37162	45663	4480	0	0	41473	0	0	46925
ASV_38	0	182043	111197	0	0	0	139374	62900	130123	0	87215	0	186111	66723	44694	115884	14444	82230	100206	32915	27477	158517	0	38982	59174	152552	125783	93665	84925	76057	88942	92259	0	128181	0	0	95195	82621	17826	0	0	88620	15127	0	0	55695	10322	0
